nazwa;nazwa og??lna ;kolor;Cena brutto:;szerokosc profilu1;szerokosc profilu2;width;height
KSZ_014;Szuflada zewnętrzna;PC mat;1388;;;729;154
KSZ_015;Szuflada zewnętrzna;PC mat;1146;;;229;229
KSZ_016;Szuflada zewnętrzna;PC mat;1211;;;329;229
KSZ_017;Szuflada zewnętrzna;PC mat;1240;;;374;229
KSZ_018;Szuflada zewnętrzna;PC mat;1270;;;420;229
KSZ_019;Szuflada zewnętrzna;PC mat;1307;;;479;229
KSZ_020;Szuflada zewnętrzna;PC mat;1334;;;523;229
KSZ_021;Szuflada zewnętrzna;PC mat;1467;;;729;229
KSZ_022;Szuflada zewnętrzna;PC mat;1200;;;229;329
KSZ_023;Szuflada zewnętrzna;PC mat;1275;;;329;329
KSZ_024;Szuflada zewnętrzna;PC mat;1310;;;374;329
KSZ_025;Szuflada zewnętrzna;PC mat;1346;;;420;329
KSZ_026;Szuflada zewnętrzna;PC mat;1392;;;479;329
KSZ_027;Szuflada zewnętrzna;PC mat;1425;;;523;329
KSZ_028;Szuflada zewnętrzna;PC mat;1584;;;729;329
KSZ_029;Szuflada zewnętrzna;PC mat;1226;;;229;374
KSZ_030;Szuflada zewnętrzna;PC mat;1309;;;329;374
KSZ_031;Szuflada zewnętrzna;PC mat;1346;;;374;374
KSZ_032;Szuflada zewnętrzna;PC mat;1382;;;420;374
KSZ_033;Szuflada zewnętrzna;PC mat;1432;;;479;374
KSZ_034;Szuflada zewnętrzna;PC mat;1469;;;523;374
KSZ_035;Szuflada zewnętrzna;PC mat;1639;;;729;374
KSZ_036;Szuflada zewnętrzna;PC mat;1259;;;229;420
KSZ_037;Szuflada zewnętrzna;PC mat;1349;;;329;420
KSZ_038;Szuflada zewnętrzna;PC mat;1390;;;374;420
KSZ_039;Szuflada zewnętrzna;PC mat;1430;;;420;420
KSZ_040;Szuflada zewnętrzna;PC mat;1482;;;479;420
KSZ_041;Szuflada zewnętrzna;PC mat;1523;;;523;420
KSZ_042;Szuflada zewnętrzna;PC mat;1705;;;729;420
KSZ_001;Szuflada zewnętrzna;PC polysk;1069;;;229;79
KSZ_002;Szuflada zewnętrzna;PC polysk;1115;;;329;79
KSZ_003;Szuflada zewnętrzna;PC polysk;1135;;;374;79
KSZ_004;Szuflada zewnętrzna;PC polysk;1155;;;420;79
KSZ_005;Szuflada zewnętrzna;PC polysk;1181;;;479;79
KSZ_006;Szuflada zewnętrzna;PC polysk;1202;;;523;79
KSZ_007;Szuflada zewnętrzna;PC polysk;1296;;;729;79
KSZ_008;Szuflada zewnętrzna;PC polysk;1109;;;229;154
KSZ_009;Szuflada zewnętrzna;PC polysk;1165;;;329;154
KSZ_010;Szuflada zewnętrzna;PC polysk;1189;;;374;154
